keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Klimawandel',de,Klima,#9e3215,#ae3105,3,0.1643375690580274
'Gewitter',de,Sommer,#4287f5,#3297e5,3,0.1271674506512083
'Schatten',de,Anpassung,#87830f,#777300,3,0.0983041596622788
'Erderwärmung',de,Klima,#9e3215,#8e4225,3,0.0969722286103952
'Sonne',de,Sommer,#4287f5,#3277e5,3,0.0961825022340174
'Hitze',de,Sommer,#4287f5,#3297f9,3,0.0948250985467534
'Sonnenstunden',de,Sommer,#3277f5,#4287f9,2,0.0925113351684022
'Sommerferien',de,Schule,#40bd16,#30cd06,3,0.09219491212335718
'Hitzetod',de,Sommer,#4287f5,#5277f9,1,0.0815545082961471
'Freibad',de,Anpassung,#87830f,#779300,2,0.0700765207451302
'Sonnencreme',de,Anpassung,#87830f,#77731f,2,0.0688343813014796
'Hitzerekord',de,Sommer,#4287f5,#5277e5,1,0.0677966200265673
'Eiscreme',de,Anpassung,#87830f,#977300,1,0.0546287240728812
'Siesta',de,Anpassung,#87830f,#97931f,1,0.0076427775151064
'Hitzefrei',de,Schule,#40bd16,#50ad26,1,0.0014050869200544
'Sonnenstich',de,Sommer,#4287f5,#5297e5,1,0.0013274569998374
