keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Klimawandel',de,Klima,#9e3215,#ae3105,3,0.1446464586993232
'Schatten',de,Anpassung,#87830f,#777300,3,0.1204217945571423
'Gewitter',de,Sommer,#4287f5,#3297e5,3,0.1010390910954979
'Erderwärmung',de,Klima,#9e3215,#8e4225,3,0.0969722286103952
'Sonne',de,Sommer,#4287f5,#3277e5,3,0.0961825022340174
'Hitze',de,Sommer,#4287f5,#3297f9,3,0.0948250985467534
'Sonnenstunden',de,Sommer,#3277f5,#4287f9,2,0.0925113351684022
'Sommerferien',de,Schule,#40bd16,#30cd06,3,0.0785166803048535
'Hitzetod',de,Sommer,#4287f5,#5277f9,1,0.069921392051725
'Sonnencreme',de,Anpassung,#87830f,#77731f,2,0.0688343813014796
'Hitzerekord',de,Sommer,#4287f5,#5277e5,1,0.0677966200265673
'Freibad',de,Anpassung,#87830f,#779300,1,0.0595654026333606
'Eiscreme',de,Anpassung,#87830f,#977300,1,0.0546287240728812
'Siesta',de,Anpassung,#87830f,#97931f,1,0.006796390887840439
'Hitzefrei',de,Schule,#40bd16,#50ad26,1,0.0013443388820462
'Sonnenstich',de,Sommer,#4287f5,#5297e5,1,0.0013274569998374
